,Quantity,InvoiceDate,Category
3903,1,2010-12-02 15:46:00,Storage/Laundry bags
3928,1,2010-12-02 15:46:00,Storage/Laundry bags
3940,1,2010-12-02 15:46:00,Storage/Laundry bags
3946,4,2010-12-02 15:49:00,Storage/Laundry bags
3987,3,2010-12-02 16:00:00,Storage/Laundry bags
3993,3,2010-12-02 16:00:00,Storage/Laundry bags
3994,4,2010-12-02 16:00:00,Storage/Laundry bags
4011,5,2010-12-02 16:12:00,Storage/Laundry bags
4128,2,2010-12-02 17:17:00,Storage/Laundry bags
4154,100,2010-12-02 17:40:00,Storage/Laundry bags
4175,8,2010-12-02 17:48:00,Storage/Laundry bags
4192,1,2010-12-02 18:08:00,Storage/Laundry bags
4193,1,2010-12-02 18:08:00,Storage/Laundry bags
4198,1,2010-12-02 18:08:00,Storage/Laundry bags
4261,10,2010-12-02 18:27:00,Storage/Laundry bags
4264,10,2010-12-02 18:27:00,Storage/Laundry bags
4288,10,2010-12-02 18:45:00,Storage/Laundry bags
4347,1,2010-12-02 19:59:00,Storage/Laundry bags
4391,2,2010-12-02 19:59:00,Storage/Laundry bags
4403,100,2010-12-03 09:39:00,Storage/Laundry bags
4404,100,2010-12-03 09:39:00,Storage/Laundry bags
4409,32,2010-12-03 09:49:00,Storage/Laundry bags
4425,10,2010-12-03 09:51:00,Storage/Laundry bags
4534,1,2010-12-03 11:13:00,Storage/Laundry bags
4651,1,2010-12-03 11:27:00,Storage/Laundry bags
4692,2,2010-12-03 11:28:00,Storage/Laundry bags
4697,13,2010-12-03 11:28:00,Storage/Laundry bags
4743,1,2010-12-03 11:28:00,Storage/Laundry bags
4749,1,2010-12-03 11:28:00,Storage/Laundry bags
4755,5,2010-12-03 11:28:00,Storage/Laundry bags
4756,2,2010-12-03 11:28:00,Storage/Laundry bags
4841,1,2010-12-03 11:35:00,Storage/Laundry bags
4851,4,2010-12-03 11:36:00,Storage/Laundry bags
4852,1,2010-12-03 11:36:00,Storage/Laundry bags
4853,3,2010-12-03 11:36:00,Storage/Laundry bags
4859,1,2010-12-03 11:36:00,Storage/Laundry bags
4863,1,2010-12-03 11:36:00,Storage/Laundry bags
4873,5,2010-12-03 11:36:00,Storage/Laundry bags
4892,3,2010-12-03 11:36:00,Storage/Laundry bags
4899,1,2010-12-03 11:36:00,Storage/Laundry bags
4955,1,2010-12-03 11:36:00,Storage/Laundry bags
4971,1,2010-12-03 11:36:00,Storage/Laundry bags
5020,1,2010-12-03 11:36:00,Storage/Laundry bags
5021,2,2010-12-03 11:36:00,Storage/Laundry bags
5022,4,2010-12-03 11:36:00,Storage/Laundry bags
5023,2,2010-12-03 11:36:00,Storage/Laundry bags
5025,2,2010-12-03 11:36:00,Storage/Laundry bags
5068,2,2010-12-03 11:36:00,Storage/Laundry bags
5077,2,2010-12-03 11:36:00,Storage/Laundry bags
5106,3,2010-12-03 11:36:00,Storage/Laundry bags
5107,2,2010-12-03 11:36:00,Storage/Laundry bags
5112,1,2010-12-03 11:36:00,Storage/Laundry bags
5114,1,2010-12-03 11:36:00,Storage/Laundry bags
5130,4,2010-12-03 11:36:00,Storage/Laundry bags
5284,1,2010-12-03 11:36:00,Storage/Laundry bags
5333,1,2010-12-03 11:36:00,Storage/Laundry bags
5376,20,2010-12-03 12:05:00,Storage/Laundry bags
5377,20,2010-12-03 12:05:00,Storage/Laundry bags
5378,20,2010-12-03 12:05:00,Storage/Laundry bags
5379,20,2010-12-03 12:05:00,Storage/Laundry bags
5380,20,2010-12-03 12:05:00,Storage/Laundry bags
5381,20,2010-12-03 12:05:00,Storage/Laundry bags
5428,2,2010-12-03 12:24:00,Storage/Laundry bags
5430,3,2010-12-03 12:24:00,Storage/Laundry bags
5431,2,2010-12-03 12:24:00,Storage/Laundry bags
5496,8,2010-12-03 12:29:00,Storage/Laundry bags
5512,6,2010-12-03 12:29:00,Storage/Laundry bags
5542,6,2010-12-03 12:43:00,Storage/Laundry bags
5559,12,2010-12-03 12:48:00,Storage/Laundry bags
5710,7,2010-12-03 14:18:00,Storage/Laundry bags
5715,2,2010-12-03 14:18:00,Storage/Laundry bags
5731,1,2010-12-03 14:26:00,Storage/Laundry bags
5732,1,2010-12-03 14:26:00,Storage/Laundry bags
5733,2,2010-12-03 14:26:00,Storage/Laundry bags
5736,1,2010-12-03 14:26:00,Storage/Laundry bags
5766,48,2010-12-03 14:27:00,Storage/Laundry bags
5769,12,2010-12-03 14:27:00,Storage/Laundry bags
5773,97,2010-12-03 14:27:00,Storage/Laundry bags
5837,9,2010-12-03 14:27:00,Storage/Laundry bags
5838,2,2010-12-03 14:27:00,Storage/Laundry bags
5839,70,2010-12-03 14:27:00,Storage/Laundry bags
5840,21,2010-12-03 14:27:00,Storage/Laundry bags
5841,3,2010-12-03 14:27:00,Storage/Laundry bags
5842,10,2010-12-03 14:27:00,Storage/Laundry bags
5843,19,2010-12-03 14:27:00,Storage/Laundry bags
5859,20,2010-12-03 14:27:00,Storage/Laundry bags
5861,8,2010-12-03 14:27:00,Storage/Laundry bags
5863,1,2010-12-03 14:27:00,Storage/Laundry bags
5884,8,2010-12-03 14:30:00,Storage/Laundry bags
5893,5,2010-12-03 14:35:00,Storage/Laundry bags
5947,1,2010-12-03 14:54:00,Storage/Laundry bags
5965,2,2010-12-03 14:54:00,Storage/Laundry bags
5970,1,2010-12-03 14:54:00,Storage/Laundry bags
5985,1,2010-12-03 15:05:00,Storage/Laundry bags
5986,2,2010-12-03 15:05:00,Storage/Laundry bags
6007,1,2010-12-03 15:10:00,Storage/Laundry bags
6018,1,2010-12-03 15:10:00,Storage/Laundry bags
6055,1,2010-12-03 15:19:00,Storage/Laundry bags
6056,1,2010-12-03 15:19:00,Storage/Laundry bags
6066,1,2010-12-03 15:19:00,Storage/Laundry bags
6085,1,2010-12-03 16:02:00,Storage/Laundry bags
6086,2,2010-12-03 16:02:00,Storage/Laundry bags
6119,10,2010-12-03 16:35:00,Storage/Laundry bags
6129,8,2010-12-03 16:44:00,Storage/Laundry bags
6130,8,2010-12-03 16:44:00,Storage/Laundry bags
6249,2,2010-12-05 10:03:00,Storage/Laundry bags
6305,1,2010-12-05 10:45:00,Storage/Laundry bags
6320,1,2010-12-05 10:45:00,Storage/Laundry bags
6514,1,2010-12-05 11:40:00,Storage/Laundry bags
6526,3,2010-12-05 11:40:00,Storage/Laundry bags
6527,3,2010-12-05 11:40:00,Storage/Laundry bags
6531,1,2010-12-05 11:40:00,Storage/Laundry bags
6540,2,2010-12-05 11:40:00,Storage/Laundry bags
6588,2,2010-12-05 11:49:00,Storage/Laundry bags
6599,1,2010-12-05 11:49:00,Storage/Laundry bags
6604,2,2010-12-05 11:49:00,Storage/Laundry bags
6630,1,2010-12-05 11:54:00,Storage/Laundry bags
6663,6,2010-12-05 11:57:00,Storage/Laundry bags
6730,16,2010-12-05 12:00:00,Storage/Laundry bags
6752,20,2010-12-05 12:01:00,Storage/Laundry bags
6770,5,2010-12-05 12:08:00,Storage/Laundry bags
6810,1,2010-12-05 12:13:00,Storage/Laundry bags
6820,3,2010-12-05 12:13:00,Storage/Laundry bags
6821,1,2010-12-05 12:13:00,Storage/Laundry bags
6822,3,2010-12-05 12:13:00,Storage/Laundry bags
6823,1,2010-12-05 12:13:00,Storage/Laundry bags
6833,1,2010-12-05 12:13:00,Storage/Laundry bags
6834,1,2010-12-05 12:13:00,Storage/Laundry bags
6871,2,2010-12-05 12:13:00,Storage/Laundry bags
6885,4,2010-12-05 12:15:00,Storage/Laundry bags
6886,4,2010-12-05 12:15:00,Storage/Laundry bags
6953,2,2010-12-05 12:26:00,Storage/Laundry bags
6975,1,2010-12-05 12:29:00,Storage/Laundry bags
6978,2,2010-12-05 12:29:00,Storage/Laundry bags
6994,3,2010-12-05 12:29:00,Storage/Laundry bags
7018,1,2010-12-05 12:34:00,Storage/Laundry bags
7026,2,2010-12-05 12:35:00,Storage/Laundry bags
7047,4,2010-12-05 12:35:00,Storage/Laundry bags
7049,2,2010-12-05 12:35:00,Storage/Laundry bags
7052,2,2010-12-05 12:35:00,Storage/Laundry bags
7060,3,2010-12-05 12:35:00,Storage/Laundry bags
7062,5,2010-12-05 12:35:00,Storage/Laundry bags
7071,3,2010-12-05 12:35:00,Storage/Laundry bags
7134,2,2010-12-05 12:42:00,Storage/Laundry bags
7160,2,2010-12-05 12:43:00,Storage/Laundry bags
7164,4,2010-12-05 12:43:00,Storage/Laundry bags
7165,10,2010-12-05 12:43:00,Storage/Laundry bags
7169,4,2010-12-05 12:43:00,Storage/Laundry bags
7172,20,2010-12-05 12:43:00,Storage/Laundry bags
7182,11,2010-12-05 12:43:00,Storage/Laundry bags
7186,2,2010-12-05 12:43:00,Storage/Laundry bags
7268,3,2010-12-05 12:57:00,Storage/Laundry bags
7343,1,2010-12-05 13:00:00,Storage/Laundry bags
7344,1,2010-12-05 13:00:00,Storage/Laundry bags
7352,1,2010-12-05 13:00:00,Storage/Laundry bags
7429,10,2010-12-05 13:03:00,Storage/Laundry bags
7463,1,2010-12-05 13:05:00,Storage/Laundry bags
7464,1,2010-12-05 13:05:00,Storage/Laundry bags
7468,1,2010-12-05 13:05:00,Storage/Laundry bags
7541,6,2010-12-05 13:10:00,Storage/Laundry bags
7597,8,2010-12-05 13:21:00,Storage/Laundry bags
7598,8,2010-12-05 13:21:00,Storage/Laundry bags
7599,6,2010-12-05 13:21:00,Storage/Laundry bags
7600,12,2010-12-05 13:21:00,Storage/Laundry bags
7654,1,2010-12-05 13:42:00,Storage/Laundry bags
7698,1,2010-12-05 13:42:00,Storage/Laundry bags
7700,1,2010-12-05 13:42:00,Storage/Laundry bags
7777,1,2010-12-05 13:55:00,Storage/Laundry bags
7792,2,2010-12-05 13:55:00,Storage/Laundry bags
7800,100,2010-12-05 13:55:00,Storage/Laundry bags
7853,1,2010-12-05 14:06:00,Storage/Laundry bags
7855,1,2010-12-05 14:06:00,Storage/Laundry bags
7903,20,2010-12-05 14:19:00,Storage/Laundry bags
7918,30,2010-12-05 14:19:00,Storage/Laundry bags
7946,8,2010-12-05 14:19:00,Storage/Laundry bags
7952,1,2010-12-05 14:25:00,Storage/Laundry bags
7954,1,2010-12-05 14:25:00,Storage/Laundry bags
7968,1,2010-12-05 14:25:00,Storage/Laundry bags
8047,1,2010-12-05 15:06:00,Storage/Laundry bags
8067,1,2010-12-05 15:12:00,Storage/Laundry bags
8122,2,2010-12-05 15:12:00,Storage/Laundry bags
8140,1,2010-12-05 15:12:00,Storage/Laundry bags
8176,10,2010-12-05 15:21:00,Storage/Laundry bags
8179,10,2010-12-05 15:21:00,Storage/Laundry bags
8187,10,2010-12-05 15:21:00,Storage/Laundry bags
8191,10,2010-12-05 15:21:00,Storage/Laundry bags
8669,2,2010-12-06 09:58:00,Storage/Laundry bags
8685,4,2010-12-06 09:58:00,Storage/Laundry bags
8690,5,2010-12-06 09:58:00,Storage/Laundry bags
8770,2,2010-12-06 09:58:00,Storage/Laundry bags
8885,2,2010-12-06 09:58:00,Storage/Laundry bags
8913,2,2010-12-06 09:58:00,Storage/Laundry bags
8914,1,2010-12-06 09:58:00,Storage/Laundry bags
8926,1,2010-12-06 09:58:00,Storage/Laundry bags
8946,5,2010-12-06 09:58:00,Storage/Laundry bags
8947,3,2010-12-06 09:58:00,Storage/Laundry bags
8948,5,2010-12-06 09:58:00,Storage/Laundry bags
8950,3,2010-12-06 09:58:00,Storage/Laundry bags
8952,2,2010-12-06 09:58:00,Storage/Laundry bags
8964,1,2010-12-06 09:58:00,Storage/Laundry bags
8984,1,2010-12-06 09:58:00,Storage/Laundry bags
8995,1,2010-12-06 09:58:00,Storage/Laundry bags
9115,1,2010-12-06 09:58:00,Storage/Laundry bags
9117,6,2010-12-06 09:58:00,Storage/Laundry bags
9119,1,2010-12-06 09:58:00,Storage/Laundry bags
9120,1,2010-12-06 09:58:00,Storage/Laundry bags
9121,1,2010-12-06 09:58:00,Storage/Laundry bags
9136,3,2010-12-06 10:03:00,Storage/Laundry bags
9137,3,2010-12-06 10:03:00,Storage/Laundry bags
9256,1,2010-12-06 10:08:00,Storage/Laundry bags
9257,2,2010-12-06 10:08:00,Storage/Laundry bags
9258,3,2010-12-06 10:08:00,Storage/Laundry bags
9260,1,2010-12-06 10:08:00,Storage/Laundry bags
9303,4,2010-12-06 10:08:00,Storage/Laundry bags
9314,9,2010-12-06 10:08:00,Storage/Laundry bags
9326,1,2010-12-06 10:08:00,Storage/Laundry bags
9327,2,2010-12-06 10:08:00,Storage/Laundry bags
9328,1,2010-12-06 10:08:00,Storage/Laundry bags
9329,4,2010-12-06 10:08:00,Storage/Laundry bags
9330,1,2010-12-06 10:08:00,Storage/Laundry bags
9341,2,2010-12-06 10:08:00,Storage/Laundry bags
9351,11,2010-12-06 10:08:00,Storage/Laundry bags
9352,6,2010-12-06 10:08:00,Storage/Laundry bags
9361,2,2010-12-06 10:08:00,Storage/Laundry bags
9434,1,2010-12-06 10:08:00,Storage/Laundry bags
9487,1,2010-12-06 10:08:00,Storage/Laundry bags
9492,3,2010-12-06 10:08:00,Storage/Laundry bags
9493,2,2010-12-06 10:08:00,Storage/Laundry bags
9494,1,2010-12-06 10:08:00,Storage/Laundry bags
9500,6,2010-12-06 10:08:00,Storage/Laundry bags
9569,1,2010-12-06 10:08:00,Storage/Laundry bags
9570,4,2010-12-06 10:08:00,Storage/Laundry bags
9582,1,2010-12-06 10:08:00,Storage/Laundry bags
9721,10,2010-12-06 10:27:00,Storage/Laundry bags
9725,16,2010-12-06 10:36:00,Storage/Laundry bags
9726,16,2010-12-06 10:36:00,Storage/Laundry bags
9793,12,2010-12-06 11:01:00,Storage/Laundry bags
9811,2,2010-12-06 11:01:00,Storage/Laundry bags
9824,10,2010-12-06 11:03:00,Storage/Laundry bags
9856,32,2010-12-06 11:16:00,Storage/Laundry bags
9860,1,2010-12-06 11:16:00,Storage/Laundry bags
9868,12,2010-12-06 11:26:00,Storage/Laundry bags
9870,1,2010-12-06 11:26:00,Storage/Laundry bags
9894,1,2010-12-06 11:26:00,Storage/Laundry bags
9928,1,2010-12-06 11:26:00,Storage/Laundry bags
9929,1,2010-12-06 11:26:00,Storage/Laundry bags
9933,1,2010-12-06 11:26:00,Storage/Laundry bags
9956,1,2010-12-06 11:38:00,Storage/Laundry bags
9988,2,2010-12-06 12:06:00,Storage/Laundry bags
10020,1,2010-12-06 12:15:00,Storage/Laundry bags
10027,1,2010-12-06 12:15:00,Storage/Laundry bags
10031,1,2010-12-06 12:15:00,Storage/Laundry bags
10083,5,2010-12-06 12:23:00,Storage/Laundry bags
10084,2,2010-12-06 12:23:00,Storage/Laundry bags
10085,2,2010-12-06 12:23:00,Storage/Laundry bags
10086,2,2010-12-06 12:23:00,Storage/Laundry bags
10101,2,2010-12-06 12:23:00,Storage/Laundry bags
10144,4,2010-12-06 12:23:00,Storage/Laundry bags
10208,10,2010-12-06 12:38:00,Storage/Laundry bags
10210,10,2010-12-06 12:38:00,Storage/Laundry bags
10211,10,2010-12-06 12:38:00,Storage/Laundry bags
10216,10,2010-12-06 12:38:00,Storage/Laundry bags
10218,10,2010-12-06 12:38:00,Storage/Laundry bags
10219,10,2010-12-06 12:38:00,Storage/Laundry bags
10224,10,2010-12-06 12:38:00,Storage/Laundry bags
10234,1,2010-12-06 12:39:00,Storage/Laundry bags
10289,1,2010-12-06 12:41:00,Storage/Laundry bags
10290,1,2010-12-06 12:41:00,Storage/Laundry bags
10291,1,2010-12-06 12:41:00,Storage/Laundry bags
10298,3,2010-12-06 12:44:00,Storage/Laundry bags
10301,3,2010-12-06 12:44:00,Storage/Laundry bags
10303,3,2010-12-06 12:44:00,Storage/Laundry bags
10307,3,2010-12-06 12:44:00,Storage/Laundry bags
10308,3,2010-12-06 12:44:00,Storage/Laundry bags
10312,2,2010-12-06 12:44:00,Storage/Laundry bags
10342,12,2010-12-06 12:47:00,Storage/Laundry bags
10350,1,2010-12-06 12:52:00,Storage/Laundry bags
10357,2,2010-12-06 12:52:00,Storage/Laundry bags
10358,2,2010-12-06 12:52:00,Storage/Laundry bags
10408,1,2010-12-06 12:55:00,Storage/Laundry bags
10451,1,2010-12-06 12:55:00,Storage/Laundry bags
10497,4,2010-12-06 12:59:00,Storage/Laundry bags
10498,4,2010-12-06 12:59:00,Storage/Laundry bags
10501,4,2010-12-06 12:59:00,Storage/Laundry bags
10741,5,2010-12-06 13:58:00,Storage/Laundry bags
10804,1,2010-12-06 14:05:00,Storage/Laundry bags
10875,2,2010-12-06 14:31:00,Storage/Laundry bags
10876,2,2010-12-06 14:31:00,Storage/Laundry bags
10878,2,2010-12-06 14:31:00,Storage/Laundry bags
10898,1,2010-12-06 14:31:00,Storage/Laundry bags
10899,1,2010-12-06 14:31:00,Storage/Laundry bags
10918,4,2010-12-06 14:36:00,Storage/Laundry bags
10962,4,2010-12-06 14:43:00,Storage/Laundry bags
10970,1,2010-12-06 14:46:00,Storage/Laundry bags
11004,1,2010-12-06 14:51:00,Storage/Laundry bags
11005,1,2010-12-06 14:51:00,Storage/Laundry bags
11006,6,2010-12-06 14:51:00,Storage/Laundry bags
11007,3,2010-12-06 14:51:00,Storage/Laundry bags
11008,2,2010-12-06 14:51:00,Storage/Laundry bags
11012,1,2010-12-06 14:51:00,Storage/Laundry bags
11063,1,2010-12-06 15:13:00,Storage/Laundry bags
11073,3,2010-12-06 15:13:00,Storage/Laundry bags
11077,1,2010-12-06 15:13:00,Storage/Laundry bags
11100,8,2010-12-06 15:18:00,Storage/Laundry bags
11157,10,2010-12-06 15:27:00,Storage/Laundry bags
11214,4,2010-12-06 15:54:00,Storage/Laundry bags
11215,6,2010-12-06 15:54:00,Storage/Laundry bags
11222,1,2010-12-06 15:54:00,Storage/Laundry bags
11320,3,2010-12-06 16:57:00,Storage/Laundry bags
11383,1,2010-12-06 16:57:00,Storage/Laundry bags
11431,1,2010-12-06 16:57:00,Storage/Laundry bags
11569,1,2010-12-06 16:57:00,Storage/Laundry bags
11570,1,2010-12-06 16:57:00,Storage/Laundry bags
11580,2,2010-12-06 16:57:00,Storage/Laundry bags
11581,3,2010-12-06 16:57:00,Storage/Laundry bags
11582,2,2010-12-06 16:57:00,Storage/Laundry bags
11585,1,2010-12-06 16:57:00,Storage/Laundry bags
11590,1,2010-12-06 16:57:00,Storage/Laundry bags
11591,3,2010-12-06 16:57:00,Storage/Laundry bags
11592,1,2010-12-06 16:57:00,Storage/Laundry bags
11607,1,2010-12-06 16:57:00,Storage/Laundry bags
11608,3,2010-12-06 16:57:00,Storage/Laundry bags
11655,1,2010-12-06 16:57:00,Storage/Laundry bags
11699,1,2010-12-06 16:57:00,Storage/Laundry bags
11705,2,2010-12-06 16:57:00,Storage/Laundry bags
11706,2,2010-12-06 16:57:00,Storage/Laundry bags
11739,3,2010-12-06 16:57:00,Storage/Laundry bags
11740,1,2010-12-06 16:57:00,Storage/Laundry bags
11742,5,2010-12-06 16:57:00,Storage/Laundry bags
11743,10,2010-12-06 16:57:00,Storage/Laundry bags
11744,1,2010-12-06 16:57:00,Storage/Laundry bags
11800,2,2010-12-06 16:58:00,Storage/Laundry bags
11814,1,2010-12-06 17:16:00,Storage/Laundry bags
11815,1,2010-12-06 17:16:00,Storage/Laundry bags
11935,6,2010-12-07 09:57:00,Storage/Laundry bags
11936,6,2010-12-07 09:57:00,Storage/Laundry bags
11987,10,2010-12-07 10:08:00,Storage/Laundry bags
11996,4,2010-12-07 10:14:00,Storage/Laundry bags
12083,150,2010-12-07 11:26:00,Storage/Laundry bags
12205,12,2010-12-07 11:49:00,Storage/Laundry bags
12213,1,2010-12-07 11:59:00,Storage/Laundry bags
12220,1,2010-12-07 11:59:00,Storage/Laundry bags
12242,5,2010-12-07 12:21:00,Storage/Laundry bags
12244,5,2010-12-07 12:21:00,Storage/Laundry bags
12245,5,2010-12-07 12:21:00,Storage/Laundry bags
12246,20,2010-12-07 12:21:00,Storage/Laundry bags
12249,20,2010-12-07 12:21:00,Storage/Laundry bags
12250,20,2010-12-07 12:21:00,Storage/Laundry bags
12252,40,2010-12-07 12:21:00,Storage/Laundry bags
